book,chapter,verse,text
,,,book prophet isaiah
Isaiah,1,1,vision isaiah son amoz see concern judah jerusalem day uzziah jotham ahaz hezekiah king judah
Isaiah,1,2,hear o heaven ear o earth lord hath speak nourish bring child rebel
Isaiah,1,3,ox knoweth owner ass master crib israel doth know people doth consider
Isaiah,1,4,ah sinful nation people laden iniquity seed evildoer child corrupter forsake lord provoke holy israel unto anger go away backward
Isaiah,1,5,ye stricken ye revolt head sick heart faint
Isaiah,1,6,sole foot unto head soundness wound bruise putrifye sore close bind mollify ointment
Isaiah,1,7,country desolate city burn fire land stranger devour presence desolate overthrow stranger
Isaiah,1,8,daughter zion leave cottage vineyard lodge garden cucumber besiege city
Isaiah,1,9,lord host leave unto small remnant sodom like unto gomorrah
Isaiah,1,10,hear word lord ye ruler sodom ear unto law god ye people gomorrah
Isaiah,1,11,purpose multitude sacrifice unto saith lord burn offering ram fat fed beast delight blood bullock lamb goat
Isaiah,1,12,ye come appear hath require hand tread court
Isaiah,1,13,bring vain oblation incense abomination unto new moon sabbath calling assembly away iniquity solemn meeting
Isaiah,1,14,new moon appoint feast soul hateth trouble unto weary bear
Isaiah,1,15,ye spread forth hand hide eye yea ye prayer hear hand blood
Isaiah,1,16,wash clean away evil doing eye cease evil
Isaiah,1,17,learn seek judgment relieve oppressed judge fatherless plead widow
Isaiah,1,18,come let reason saith lord sin scarlet shall white snow red like crimson shall wool
Isaiah,1,19,ye willing obedient ye shall eat good land
Isaiah,1,20,ye refuse rebel ye shall devour sword mouth lord hath speak
Isaiah,1,21,faithful city harlot judgment righteousness lodge murderer
Isaiah,1,22,thy silver dross thy wine mix water
Isaiah,1,23,thy prince rebellious companion thief loveth gift followeth reward judge fatherless doth cause widow come unto
Isaiah,1,24,saith lord lord host mighty israel ah ease adversary avenge enemy
Isaiah,1,25,turn hand thee purely purge away thy dross away thy tin
Isaiah,1,26,restore thy judge thy counsellor beginning afterward thou shalt call city righteousness faithful city
Isaiah,1,27,zion shall redeem judgment convert righteousness
Isaiah,1,28,destruction transgressor sinner shall forsake lord shall consume
Isaiah,1,29,shall ashamed oak ye desire ye shall confound garden ye choose
Isaiah,1,30,ye shall oak leaf fadeth garden hath water
Isaiah,1,31,strong shall tow maker spark shall burn shall quench
Isaiah,2,1,word isaiah son amoz see concern judah jerusalem
Isaiah,2,2,shall come pass day mountain lord house shall establish mountain shall exalt hill nation shall flow unto
Isaiah,2,3,people shall come ye let mountain lord house god jacob teach way walk path zion shall forth law word lord jerusalem
Isaiah,2,4,shall judge nation shall rebuke people shall beat sword plowshare spear pruninghook nation shall lift sword nation shall learn war
Isaiah,2,5,o house jacob come ye let walk light lord
Isaiah,2,6,thou hast forsake thy people house jacob replenish east soothsayer like philistines child stranger
Isaiah,2,7,land silver gold end treasure land horse end chariot
Isaiah,2,8,land idol worship work hand finger
Isaiah,2,9,mean man boweth great man humbleth forgive
Isaiah,2,10,enter rock hide thee dust fear lord glory majesty
Isaiah,2,11,lofty look man shall humble haughtiness man shall bow lord shall exalt day
Isaiah,2,12,day lord host shall proud lofty lift shall bring low
Isaiah,2,13,cedar lebanon high lift oak bashan
Isaiah,2,14,high mountain hill lift
Isaiah,2,15,high tower fence wall
Isaiah,2,16,ship tarshish pleasant picture
Isaiah,2,17,loftiness man shall bow haughtiness man shall low lord shall exalt day
Isaiah,2,18,idol shall utterly abolish
Isaiah,2,19,shall hole rock cave earth fear lord glory majesty ariseth shake terribly earth
Isaiah,2,20,day man shall cast idol silver idol gold worship mole bat
Isaiah,2,21,cleft rock top ragged rock fear lord glory majesty ariseth shake terribly earth
Isaiah,2,22,cease ye man breath nostril account
Isaiah,3,1,behold lord lord hosts doth away jerusalem judah stay staff stay bread stay water
Isaiah,3,2,mighty man man war judge prophet prudent ancient
Isaiah,3,3,captain honourable man counsellor cunning artificer eloquent orator
Isaiah,3,4,child prince babe shall rule
Isaiah,3,5,people shall oppress neighbour child shall behave proudly ancient base honourable
Isaiah,3,6,man shall hold brother house father say thou hast clothing thou ruler let ruin thy hand
Isaiah,3,7,day shall swear say healer house bread clothing ruler people
Isaiah,3,8,jerusalem ruin judah fall tongue doing lord provoke eye glory
Isaiah,3,9,shew countenance doth witness declare sin sodom hide woe unto soul reward evil unto
Isaiah,3,10,ye righteous shall shall eat fruit doing
Isaiah,3,11,woe unto wicked shall ill reward hand shall give
Isaiah,3,12,people child oppressor woman rule o people lead thee cause thee err destroy way thy path
Isaiah,3,13,lord standeth plead standeth judge people
Isaiah,3,14,lord enter judgment ancient people prince thereof ye eat vineyard spoil poor house
Isaiah,3,15,mean ye ye beat people piece grind face poor saith lord god host
Isaiah,3,16,lord saith daughter zion haughty walk stretch forth neck wanton eye walk mince make tinkling foot
Isaiah,3,17,lord smite scab crown head daughter zion lord discover secret part
Isaiah,3,18,day lord away bravery tinkle ornament foot caul round tire like moon
Isaiah,3,19,chain bracelet muffler
Isaiah,3,20,bonnet ornament leg headband tablet earring
Isaiah,3,21,ring nose jewel
Isaiah,3,22,changeable suit apparel mantle wimple crisping pin
Isaiah,3,23,glass fine linen hood vail
Isaiah,3,24,shall come pass instead sweet smell shall stink instead girdle rent instead set hair baldness instead stomacher girding sackcloth burn instead beauty
Isaiah,3,25,thy man shall fall sword thy mighty war
Isaiah,3,26,gate shall lament mourn desolate shall sit ground
Isaiah,4,1,day seven woman shall hold man say eat bread wear apparel let call thy away reproach
Isaiah,4,2,day shall branch lord beautiful glorious fruit earth shall excellent comely escape israel
Isaiah,4,3,shall come pass leave zion remaineth jerusalem shall call holy write living jerusalem
Isaiah,4,4,lord shall wash away filth daughter zion shall purge blood jerusalem midst thereof spirit judgment spirit burn
Isaiah,4,5,lord create dwelling place mount zion assembly cloud smoke day shining flame fire night glory shall defence
Isaiah,4,6,shall tabernacle shadow daytime heat place refuge covert storm rain
Isaiah,5,1,sing wellbelove song beloved touch vineyard wellbeloved hath vineyard fruitful hill
Isaiah,5,2,fence gather stone thereof plant choice vine build tower midst winepress look bring forth grape bring forth wild grape
Isaiah,5,3,o inhabitant jerusalem man judah judge pray betwixt vineyard
Isaiah,5,4,vineyard wherefore look bring forth grape bring forth wild grape
Isaiah,5,5,tell vineyard away hedge thereof shall eat break wall thereof shall trodden
Isaiah,5,6,lay waste shall prune digge shall come brier thorn command cloud rain rain
Isaiah,5,7,vineyard lord host house israel man judah pleasant plant look judgment behold oppression righteousness behold cry
Isaiah,5,8,woe unto join house house lie field field till place place midst earth
Isaiah,5,9,ear say lord host truth house shall desolate great fair inhabitant
Isaiah,5,10,yea acre vineyard shall yield bath seed homer shall yield ephah
Isaiah,5,11,woe unto rise early morning follow strong drink continue night till wine inflame
Isaiah,5,12,harp viol tabret pipe wine feast regard work lord consider operation hand
Isaiah,5,13,people go captivity knowledge honourable man famish multitude dry thirst
Isaiah,5,14,hell hath enlarge open mouth measure glory multitude pomp rejoiceth shall descend
Isaiah,5,15,mean man shall bring mighty man shall humble eye lofty shall humble
Isaiah,5,16,lord host shall exalt judgment god holy shall sanctify righteousness
Isaiah,5,17,shall lamb feed manner waste place fat one shall stranger eat
Isaiah,5,18,woe unto draw iniquity cord vanity sin cart rope
Isaiah,5,19,let speed hasten work let counsel holy israel draw nigh come know
Isaiah,5,20,woe unto evil good good evil darkness light light darkness bitter sweet sweet bitter
Isaiah,5,21,woe unto wise eye prudent sight
Isaiah,5,22,woe unto mighty drink wine man strength mingle strong drink
Isaiah,5,23,justify wicked reward away righteousness righteous
Isaiah,5,24,fire devoureth stubble flame consumeth chaff root shall rottenness blossom shall dust cast away law lord host despise word holy israel
Isaiah,5,25,anger lord kindle people hath stretch forth hand hath smitten hill tremble carcase tear midst street anger turn away hand stretch
Isaiah,5,26,lift ensign nation far hiss unto end earth behold shall come speed swiftly
Isaiah,5,27,shall weary stumble shall slumber sleep shall girdle loin loose latchet shoe break
Isaiah,5,28,arrow sharp bow bent horse hoof shall count like flint wheel like whirlwind
Isaiah,5,29,roaring shall like lion shall roar like young lion yea shall roar lay hold prey shall carry away safe shall deliver
Isaiah,5,30,day shall roar like roaring sea look unto land behold darkness sorrow light darken heaven thereof
Isaiah,6,1,year king uzziah die see lord sit throne high lift train fill temple
Isaiah,6,2,stand seraphim wing twain cover face twain cover foot twain fly
Isaiah,6,3,cry unto say holy holy holy lord host earth glory
Isaiah,6,4,post door move voice cry house fill smoke
Isaiah,6,5,say woe undo man unclean lip dwell midst people unclean lip eye see king lord host
Isaiah,6,6,fly seraphim unto have live coal hand take tong altar
Isaiah,6,7,lay mouth say lo hath touch thy lip thine iniquity take away thy sin purge
Isaiah,6,8,hear voice lord say shall send say send
Isaiah,6,9,say tell people hear ye understand ye perceive
Isaiah,6,10,heart people fat ear heavy shut eye lest eye hear ear understand heart convert heal
Isaiah,6,11,say lord long answer city waste inhabitant house man land utterly desolate
Isaiah,6,12,lord remove man far away great forsaking midst land
Isaiah,6,13,shall tenth shall return shall eat teil tree oak substance cast leave holy seed shall substance thereof
Isaiah,7,1,come pass day ahaz son jotham son uzziah king judah rezin king syria pekah son remaliah king israel go jerusalem war prevail
Isaiah,7,2,tell house david say syria confederate ephraim heart move heart people tree wood move wind
Isaiah,7,3,say lord unto isaiah forth meet ahaz thou shearjashub thy son end conduit upper pool highway fuller field
Isaiah,7,4,unto heed quiet fear fainthearte tail smoking firebrand fierce anger rezin syria son remaliah
Isaiah,7,5,syria ephraim son remaliah take evil counsel thee say
Isaiah,7,6,let judah vex let breach set king midst son tabeal
Isaiah,7,7,saith lord god shall stand shall come pass
Isaiah,7,8,head syria damascus head damascus rezin threescore year shall ephraim break people
Isaiah,7,9,head ephraim samaria head samaria remaliah son ye believe surely ye shall establish
Isaiah,7,10,lord spake unto ahaz say
Isaiah,7,11,ask thee sign lord thy god ask depth height
Isaiah,7,12,ahaz say ask tempt lord
Isaiah,7,13,say hear ye o house david small thing weary man ye weary god
Isaiah,7,14,lord shall sign behold virgin shall conceive bear son shall immanuel
Isaiah,7,15,butter honey shall eat know refuse evil choose good
Isaiah,7,16,child shall know refuse evil choose good land thou abhorrest shall forsake king
Isaiah,7,17,lord shall bring thee thy people thy father house day come day ephraim depart judah king assyria
Isaiah,7,18,shall come pass day lord shall hiss fly uttermost river egypt bee land assyria
Isaiah,7,19,shall come shall rest desolate valley hole rock thorn bush
Isaiah,7,20,day shall lord shave razor hire river king assyria head hair foot shall consume beard
Isaiah,7,21,shall come pass day man shall nourish young cow sheep
Isaiah,7,22,shall come pass abundance milk shall shall eat butter butter honey shall eat leave land
Isaiah,7,23,shall come pass day place shall thousand vine thousand silverling shall brier thorn
Isaiah,7,24,arrow bow shall man come thither land shall brier thorn
Isaiah,7,25,hill shall digge mattock shall come thither fear brier thorn shall sending forth oxen treading less cattle
Isaiah,8,1,lord say unto thee great roll write mans pen concern mahershalalhashbaz
Isaiah,8,2,take unto faithful witness record uriah priest zechariah son jeberechiah
Isaiah,8,3,go unto prophetess conceive bare son say lord mahershalalhashbaz
Isaiah,8,4,child shall knowledge cry father mother riches damascus spoil samaria shall take away king assyria
Isaiah,8,5,lord spake unto say
Isaiah,8,6,forasmuch people refuseth water shiloah softly rejoice rezin remaliahs son
Isaiah,8,7,behold lord bringeth water river strong king assyria glory shall come channel bank
Isaiah,8,8,shall pass judah shall overflow shall reach neck stretching wing shall fill breadth thy land o immanuel
Isaiah,8,9,associate o ye people ye shall break piece ear ye far country gird ye shall break piece gird ye shall break piece
Isaiah,8,10,counsel shall come nought speak word shall stand god
Isaiah,8,11,lord spake strong hand instruct walk way people say
Isaiah,8,12,ye confederacy people shall confederacy fear ye fear afraid
Isaiah,8,13,sanctify lord host let fear let dread
