book,chapter,verse,text,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic
,,,book prophet isaiah,0.31718752530661426,0.5158144244713853,0.041667004767502,0.0416670545317214,0.04178864192081585,0.04187534900196135,1
Isaiah,1.0,1.0,vision isaiah son amoz see concern judah jerusalem day uzziah jotham ahaz hezekiah king judah,0.011144015104076947,0.9443000017152867,0.011123450866642634,0.011152987695766114,0.01113128786241971,0.011148256755807964,1
Isaiah,1.0,2.0,hear o heaven ear o earth lord hath speak nourish bring child rebel,0.015235406583817751,0.35357844857863013,0.585398171558105,0.01521748442958936,0.015268375538294184,0.015302113311563425,2
Isaiah,1.0,3.0,ox knoweth owner ass master crib israel doth know people doth consider,0.01518441117380737,0.015269279927191837,0.2356380505580945,0.015260595514056794,0.0152725579643774,0.7033751048624722,5
Isaiah,1.0,4.0,ah sinful nation people laden iniquity seed evildoer child corrupter forsake lord provoke holy israel unto anger go away backward,0.010488388915922102,0.010451387402902596,0.9475694599250749,0.010512996401113717,0.010474329485940301,0.010503437869046265,2
Isaiah,1.0,5.0,ye stricken ye revolt head sick heart faint,0.023928615897694867,0.023837360656861675,0.02396638282926779,0.024026933362552804,0.023876734966968495,0.8803639722866544,5
Isaiah,1.0,6.0,sole foot unto head soundness wound bruise putrifye sore close bind mollify ointment,0.016955747240000277,0.9152605962229621,0.016767836847619854,0.016899840134527496,0.016943412883106093,0.01717256667178427,1
Isaiah,1.0,7.0,country desolate city burn fire land stranger devour presence desolate overthrow stranger,0.014014502623220392,0.013998589892925257,0.014036601324244752,0.014010690904844735,0.4884933679069547,0.45544624734781025,4
Isaiah,1.0,8.0,daughter zion leave cottage vineyard lodge garden cucumber besiege city,0.9163780453377218,0.01672295075957856,0.016713088339558514,0.016735630309826027,0.01669742182416409,0.016752863429151176,0
Isaiah,1.0,9.0,lord host leave unto small remnant sodom like unto gomorrah,0.018578180709118094,0.01858020694884609,0.018604315725188104,0.018718676013951052,0.9069621471666532,0.01855647343624346,4
Isaiah,1.0,10.0,hear word lord ye ruler sodom ear unto law god ye people gomorrah,0.015230304169599165,0.9236799630612228,0.015283521840601623,0.015200797352178066,0.015359532833016696,0.015245880743381759,1
Isaiah,1.0,11.0,purpose multitude sacrifice unto saith lord burn offering ram fat fed beast delight blood bullock lamb goat,0.01044222328220336,0.010451012283995998,0.9476385680355678,0.010570764347251795,0.010453603269427935,0.010443828781553206,2
Isaiah,1.0,12.0,ye come appear hath require hand tread court,0.027947280779000022,0.027898774151639178,0.028037866642077514,0.027953041984160862,0.027922635590433138,0.8602404008526893,5
Isaiah,1.0,13.0,bring vain oblation incense abomination unto new moon sabbath calling assembly away iniquity solemn meeting,0.013977277017479648,0.01398976162079723,0.014027263928957055,0.14345384343252116,0.800557099408317,0.013994754591927913,4
Isaiah,1.0,14.0,new moon appoint feast soul hateth trouble unto weary bear,0.018540411206486078,0.018682518672295527,0.01863771820753348,0.018633634221903023,0.3905366930494549,0.534969024642327,5
Isaiah,1.0,15.0,ye spread forth hand hide eye yea ye prayer hear hand blood,0.01523042378764011,0.34964632264169937,0.5891572613524508,0.015301802042499885,0.015300796681375562,0.015363393494334332,2
Isaiah,1.0,16.0,wash clean away evil doing eye cease evil,0.018651775179247175,0.018666014371297293,0.01859306494729901,0.018556361623753372,0.018625503321121666,0.9069072805572815,5
